line,size,line_impedance,line_length
219,39,0.4,0.25
220,147,0.78,0.38
221,169,0.78,0.14
222,76,0.6,0.22
223,21,0.61,0.17
224,185,0.77,0.21
225,143,0.22,0.32
226,150,0.68,0.37
227,35,0.7,0.33
228,97,0.7,0.27
229,180,0.64,0.32
230,79,0.27,0.14
231,160,0.69,0.29
232,102,0.68,0.15
233,151,0.52,0.37
234,179,0.25,0.17
235,182,0.67,0.37
236,188,0.23,0.23
237,55,0.76,0.3
238,34,0.79,0.12
239,96,0.2,0.23
240,55,0.77,0.19
241,175,0.2,0.14
242,112,0.63,0.38
243,97,0.37,0.37
244,120,0.6,0.26
245,183,0.37,0.13
246,175,0.4,0.25
247,162,0.48,0.29
248,107,0.7,0.31
249,179,0.22,0.32
250,175,0.38,0.22
251,138,0.6,0.29
252,58,0.52,0.37
253,72,0.61,0.38
254,182,0.53,0.28
255,64,0.22,0.39
256,44,0.22,0.21
257,161,0.76,0.11
258,65,0.73,0.18
259,132,0.33,0.37
260,136,0.22,0.28
261,170,0.67,0.38
262,50,0.45,0.25
263,145,0.4,0.27
264,155,0.69,0.34
265,48,0.71,0.3
266,48,0.34,0.25
267,70,0.53,0.21
268,40,0.32,0.23
269,93,0.69,0.17
270,139,0.28,0.28
271,182,0.71,0.31
272,55,0.45,0.38
273,52,0.24,0.37
274,138,0.51,0.33
275,94,0.43,0.32
276,117,0.29,0.22
277,56,0.22,0.18
278,96,0.59,0.36
279,23,0.55,0.14
280,187,0.71,0.3
281,37,0.47,0.3
282,23,0.76,0.34
283,20,0.25,0.12
284,81,0.21,0.3
285,94,0.59,0.2
286,85,0.25,0.37
287,105,0.6,0.36
288,158,0.4,0.36
289,153,0.66,0.12
290,64,0.59,0.38
291,39,0.32,0.11
292,37,0.36,0.36
293,79,0.52,0.14
294,46,0.21,0.33
295,143,0.23,0.2
296,79,0.47,0.18
297,36,0.71,0.17
298,73,0.71,0.2
299,27,0.6,0.18
300,197,0.74,0.11
301,90,0.63,0.28
302,176,0.39,0.21
303,68,0.68,0.19
304,91,0.24,0.37
305,168,0.66,0.15
306,92,0.54,0.36
307,178,0.48,0.19
308,77,0.53,0.36
309,20,0.25,0.31
310,148,0.55,0.17
311,66,0.52,0.39
312,80,0.53,0.15
313,89,0.74,0.15
314,147,0.63,0.36
315,26,0.32,0.2
316,194,0.45,0.28
317,110,0.56,0.23
318,197,0.75,0.17
319,92,0.78,0.25
320,66,0.76,0.19
321,146,0.61,0.19
322,55,0.47,0.36
323,80,0.41,0.13
324,147,0.24,0.12
325,116,0.71,0.33
326,24,0.39,0.19
327,168,0.48,0.19
328,92,0.74,0.29
329,198,0.7,0.33
330,123,0.35,0.29
331,32,0.34,0.36
332,163,0.71,0.25
333,104,0.55,0.38
334,98,0.44,0.34
335,53,0.32,0.2
336,82,0.63,0.17
337,76,0.48,0.37
338,24,0.63,0.16
339,50,0.71,0.12
340,103,0.34,0.4
341,105,0.22,0.19
342,122,0.58,0.3
343,194,0.64,0.27
344,153,0.26,0.22
345,106,0.72,0.3
346,46,0.24,0.18
347,110,0.26,0.36
348,169,0.38,0.16
349,98,0.46,0.39
350,93,0.4,0.18
351,128,0.7,0.33
352,193,0.5,0.39
353,94,0.77,0.11
354,140,0.75,0.15
355,98,0.31,0.22
356,109,0.35,0.15
357,22,0.47,0.26
358,137,0.23,0.31
359,86,0.39,0.39
360,198,0.45,0.37
361,172,0.71,0.34
362,174,0.26,0.23
363,180,0.56,0.31
364,159,0.78,0.12
365,29,0.26,0.25
366,138,0.66,0.34
367,197,0.3,0.35
368,22,0.54,0.21
369,109,0.75,0.2
370,21,0.8,0.2
371,181,0.73,0.21
372,42,0.64,0.13
373,200,0.7,0.3
374,84,0.58,0.38
375,167,0.74,0.12
376,189,0.77,0.21
377,48,0.78,0.29
378,191,0.62,0.36
379,60,0.5,0.11
380,53,0.49,0.28
381,167,0.32,0.27
382,21,0.21,0.32
383,133,0.64,0.27
384,154,0.22,0.37
385,55,0.77,0.33
386,189,0.8,0.14
387,198,0.55,0.34
388,70,0.54,0.34
389,117,0.57,0.19
390,186,0.23,0.28
391,182,0.33,0.23
392,26,0.28,0.25
393,131,0.42,0.39
394,159,0.42,0.31
395,23,0.43,0.26
396,173,0.2,0.29
397,62,0.32,0.14
398,130,0.76,0.15
399,46,0.69,0.15
400,108,0.4,0.18
401,145,0.41,0.25
402,110,0.61,0.28
403,36,0.45,0.34
404,29,0.75,0.22
405,119,0.38,0.34
406,156,0.41,0.17
407,120,0.44,0.35
408,88,0.28,0.11
409,47,0.22,0.24
410,96,0.47,0.13
411,97,0.57,0.37
412,143,0.64,0.22
413,159,0.27,0.16
414,194,0.61,0.24
415,22,0.62,0.38
416,199,0.24,0.36
417,195,0.27,0.34
418,62,0.26,0.27
419,99,0.56,0.35
420,168,0.4,0.12
421,182,0.5,0.24
422,118,0.31,0.36
423,117,0.21,0.1
424,189,0.7,0.24
425,34,0.63,0.24
426,82,0.42,0.16
427,63,0.47,0.14
428,32,0.5,0.25
429,73,0.57,0.2
430,110,0.64,0.22
431,120,0.78,0.36
432,37,0.53,0.22
433,125,0.5,0.13
434,174,0.49,0.19
435,77,0.69,0.11
436,137,0.78,0.24
437,145,0.6,0.39
438,90,0.66,0.13
439,195,0.2,0.22
440,89,0.27,0.29
441,69,0.31,0.27
442,44,0.55,0.33
443,148,0.39,0.29
444,78,0.58,0.2
445,145,0.61,0.24
446,54,0.23,0.2
447,186,0.77,0.13
448,84,0.75,0.18
449,134,0.53,0.29
450,126,0.23,0.22
451,79,0.54,0.38
452,93,0.66,0.35
453,21,0.5,0.26
454,174,0.78,0.35
455,108,0.42,0.33
456,69,0.48,0.36
457,167,0.44,0.22
458,102,0.72,0.14
459,177,0.51,0.36
460,57,0.73,0.4
461,170,0.56,0.16
462,37,0.42,0.13
463,97,0.32,0.28
464,177,0.69,0.35
465,165,0.28,0.15
466,75,0.48,0.17
467,142,0.62,0.38
468,121,0.26,0.29
469,89,0.58,0.24
470,151,0.66,0.35
471,168,0.37,0.18
472,184,0.78,0.31
473,120,0.29,0.33
474,45,0.31,0.25
475,82,0.46,0.36
476,96,0.24,0.3
477,22,0.36,0.23
478,65,0.67,0.12
479,147,0.32,0.15
480,146,0.69,0.36
481,83,0.39,0.26
482,54,0.73,0.15
483,88,0.55,0.16
484,58,0.58,0.37
485,148,0.4,0.36
486,106,0.38,0.38
487,65,0.52,0.14
488,129,0.5,0.17
489,137,0.29,0.11
490,154,0.53,0.25
491,107,0.8,0.33
492,41,0.31,0.23
493,49,0.48,0.28
494,127,0.37,0.17
495,41,0.61,0.23
496,108,0.41,0.26
497,100,0.58,0.39
498,47,0.46,0.15
499,135,0.43,0.36
500,151,0.34,0.37
501,114,0.52,0.14
502,46,0.49,0.17
503,94,0.29,0.28
504,140,0.51,0.3
505,159,0.32,0.3
506,60,0.39,0.24
507,129,0.43,0.39
508,83,0.23,0.12
509,63,0.61,0.16
510,115,0.62,0.24
511,114,0.2,0.37
512,185,0.42,0.29
513,146,0.5,0.22
514,154,0.6,0.23
515,146,0.4,0.22
516,148,0.52,0.37
517,137,0.36,0.22
518,63,0.58,0.33
519,172,0.22,0.17
520,95,0.58,0.12
521,156,0.79,0.22
522,82,0.37,0.11
523,154,0.52,0.34
524,200,0.56,0.11
525,23,0.2,0.27
526,138,0.44,0.22
527,119,0.74,0.16
528,160,0.56,0.29
529,182,0.33,0.22
530,191,0.26,0.26
531,145,0.53,0.39
532,119,0.24,0.14
533,154,0.62,0.33
534,141,0.7,0.13
535,152,0.56,0.32
536,111,0.34,0.37
537,82,0.56,0.39
538,71,0.49,0.2
539,69,0.68,0.35
540,183,0.21,0.2
541,182,0.65,0.13
542,26,0.66,0.4
543,134,0.26,0.24
544,79,0.41,0.38
545,170,0.42,0.38
546,118,0.31,0.2
547,136,0.63,0.15
548,115,0.73,0.38
549,44,0.27,0.14
550,176,0.78,0.4
551,35,0.7,0.11
552,172,0.35,0.11
553,182,0.7,0.26
554,87,0.66,0.29
555,67,0.22,0.14
556,23,0.37,0.24
557,92,0.73,0.24
558,118,0.49,0.14
559,73,0.61,0.17
560,167,0.39,0.27
561,158,0.56,0.22
562,174,0.49,0.4
563,158,0.3,0.29
564,164,0.36,0.13
565,29,0.69,0.12
566,160,0.53,0.17
567,175,0.78,0.34
568,50,0.44,0.14
569,52,0.73,0.24
570,163,0.51,0.23
571,135,0.66,0.19
572,181,0.39,0.3
573,85,0.34,0.22
574,121,0.27,0.38
575,126,0.51,0.38
576,128,0.46,0.2
577,137,0.6,0.2
578,112,0.2,0.37
579,142,0.79,0.32
580,98,0.62,0.38
581,105,0.34,0.34
582,79,0.51,0.1
583,50,0.76,0.3
584,66,0.64,0.3
585,26,0.29,0.35
586,25,0.22,0.18
587,195,0.24,0.34
588,127,0.49,0.29
589,120,0.54,0.16
590,94,0.58,0.38
591,96,0.45,0.4
592,178,0.6,0.17
593,103,0.55,0.26
594,149,0.77,0.31
595,166,0.74,0.25
596,46,0.6,0.28
597,151,0.26,0.23
598,87,0.78,0.23
599,77,0.69,0.29
600,147,0.46,0.28
601,110,0.43,0.29
602,66,0.66,0.37
603,81,0.65,0.17
604,99,0.59,0.3
605,162,0.36,0.24
606,40,0.68,0.32
607,157,0.71,0.32
608,167,0.3,0.17
609,83,0.51,0.36
610,138,0.36,0.17
611,107,0.57,0.37
612,41,0.25,0.2
613,132,0.65,0.23
614,175,0.53,0.36
615,140,0.55,0.21
616,100,0.38,0.19
617,81,0.57,0.25
618,142,0.68,0.34
619,150,0.33,0.35
620,154,0.49,0.31
621,172,0.69,0.4
622,135,0.65,0.27
623,194,0.79,0.25
624,54,0.27,0.35
625,34,0.67,0.16
626,75,0.26,0.33
627,121,0.28,0.38
628,32,0.4,0.29
629,168,0.42,0.24
630,180,0.3,0.28
631,169,0.65,0.37
632,158,0.57,0.31
633,61,0.48,0.3
634,50,0.61,0.1
635,90,0.23,0.39
636,55,0.79,0.32
637,81,0.46,0.11
638,199,0.54,0.35
639,166,0.45,0.36
640,47,0.44,0.32
641,113,0.77,0.14
642,116,0.76,0.16
643,62,0.22,0.33
644,155,0.5,0.37
645,43,0.77,0.32
646,134,0.78,0.33
647,53,0.58,0.33
648,190,0.36,0.15
649,195,0.62,0.14
650,175,0.39,0.32
651,32,0.68,0.17
652,42,0.39,0.36
653,76,0.65,0.37
654,59,0.33,0.26
655,99,0.8,0.24
656,124,0.21,0.18
657,180,0.66,0.36
658,152,0.72,0.18
659,191,0.78,0.25
660,27,0.35,0.21
661,168,0.3,0.28
662,161,0.31,0.3
663,52,0.69,0.12
664,111,0.59,0.35
665,45,0.78,0.11
666,122,0.68,0.34
667,139,0.36,0.17
668,178,0.33,0.24
669,138,0.79,0.37
670,85,0.27,0.2
671,57,0.36,0.33
672,176,0.42,0.34
673,188,0.42,0.32
674,113,0.33,0.35
675,109,0.39,0.22
676,54,0.6,0.26
677,70,0.22,0.36
678,147,0.44,0.23
679,130,0.48,0.19
680,41,0.73,0.28
681,150,0.4,0.2
682,80,0.58,0.34
683,23,0.66,0.14
684,120,0.45,0.28
685,170,0.58,0.35
686,87,0.66,0.27
687,105,0.36,0.25
688,77,0.6,0.37
689,42,0.49,0.37
690,96,0.64,0.14
691,25,0.22,0.36
692,176,0.59,0.26
693,97,0.7,0.19
694,133,0.24,0.13
695,63,0.72,0.12
696,28,0.42,0.19
697,84,0.27,0.31
698,107,0.28,0.32
699,137,0.77,0.18
700,57,0.28,0.19
701,66,0.27,0.19
702,53,0.69,0.28
703,85,0.51,0.26
704,25,0.37,0.16
705,42,0.64,0.21
706,171,0.29,0.31
707,140,0.4,0.11
708,143,0.44,0.4
709,190,0.26,0.4
710,165,0.52,0.3
711,187,0.23,0.38
712,71,0.35,0.35
713,32,0.67,0.31
714,56,0.27,0.24
715,200,0.3,0.34
716,124,0.34,0.13
717,79,0.8,0.17
718,192,0.8,0.26
719,44,0.53,0.14
720,82,0.69,0.24
721,98,0.24,0.2
722,171,0.45,0.25
723,191,0.21,0.28
724,80,0.28,0.18
725,110,0.37,0.11
726,32,0.7,0.17
727,95,0.73,0.37
728,95,0.3,0.29
729,71,0.73,0.35
730,90,0.25,0.35
731,157,0.39,0.24
732,156,0.41,0.31
733,170,0.51,0.35
734,72,0.23,0.2
735,141,0.7,0.27
736,160,0.74,0.34
737,75,0.21,0.39
738,56,0.7,0.27
739,54,0.39,0.2
740,91,0.62,0.26
741,152,0.4,0.28
742,64,0.42,0.17
743,184,0.29,0.25
744,125,0.38,0.24
745,70,0.32,0.29
746,157,0.32,0.36
747,85,0.23,0.28
748,86,0.64,0.1
749,74,0.28,0.15
750,157,0.22,0.37
751,123,0.55,0.35
752,86,0.48,0.33
753,91,0.67,0.27
754,31,0.69,0.38
755,68,0.67,0.28
756,126,0.31,0.29
757,50,0.32,0.11
758,171,0.71,0.37
759,74,0.62,0.14
760,110,0.47,0.17
761,138,0.5,0.2
762,50,0.25,0.24
763,27,0.69,0.36
764,22,0.41,0.24
765,176,0.39,0.21
766,193,0.76,0.16
767,25,0.34,0.26
768,172,0.73,0.25
769,125,0.77,0.33
770,148,0.36,0.38
771,111,0.34,0.34
772,101,0.25,0.28
773,42,0.7,0.31
774,78,0.37,0.12
775,150,0.78,0.15
776,87,0.48,0.3
777,125,0.68,0.39
778,103,0.34,0.33
779,58,0.6,0.26
780,57,0.42,0.32
781,85,0.75,0.37
782,28,0.44,0.14
783,91,0.76,0.2
784,22,0.8,0.21
785,187,0.43,0.34
786,164,0.71,0.23
787,200,0.6,0.15
788,116,0.44,0.37
789,92,0.32,0.21
790,110,0.8,0.37
791,44,0.49,0.18
792,81,0.47,0.38
793,99,0.53,0.36
794,72,0.68,0.13
795,132,0.47,0.26
796,55,0.74,0.29
797,94,0.68,0.23
798,132,0.7,0.38
799,147,0.3,0.28
800,51,0.37,0.28
801,82,0.4,0.36
802,78,0.48,0.32
803,43,0.21,0.17
804,35,0.58,0.12
805,157,0.69,0.39
806,120,0.58,0.11
807,132,0.61,0.29
808,38,0.28,0.4
809,177,0.21,0.2
810,78,0.56,0.12
811,157,0.23,0.17
812,128,0.58,0.22
813,21,0.73,0.28
814,38,0.33,0.38
815,34,0.73,0.17
816,155,0.21,0.23
817,147,0.24,0.14
818,42,0.58,0.32
819,88,0.5,0.36
820,35,0.44,0.11
821,190,0.3,0.23
822,175,0.43,0.28
823,38,0.54,0.23
824,34,0.31,0.19
825,75,0.59,0.28
826,84,0.4,0.28
827,110,0.63,0.35
828,66,0.45,0.33
829,93,0.4,0.17
830,31,0.31,0.12
831,123,0.78,0.22
832,119,0.27,0.27
833,193,0.76,0.11
834,103,0.57,0.2
835,187,0.44,0.28
836,93,0.52,0.32
837,43,0.4,0.25
838,38,0.52,0.24
839,135,0.77,0.24
840,96,0.77,0.16
841,29,0.31,0.18
842,185,0.55,0.18
843,153,0.27,0.13
844,130,0.28,0.27
845,174,0.6,0.35
846,67,0.73,0.11
847,62,0.68,0.36
848,75,0.32,0.11
849,51,0.42,0.21
850,103,0.38,0.33
851,93,0.24,0.29
852,102,0.5,0.38
853,140,0.24,0.24
854,67,0.39,0.2
855,186,0.64,0.33
856,175,0.31,0.17
857,69,0.45,0.25
858,134,0.45,0.28
859,45,0.28,0.29
860,177,0.4,0.17
861,85,0.62,0.23
862,94,0.64,0.25
863,44,0.54,0.29
864,136,0.26,0.37
865,113,0.73,0.39
866,79,0.37,0.33
867,83,0.5,0.15
868,102,0.34,0.26
869,87,0.31,0.16
870,151,0.78,0.31
871,87,0.23,0.34
872,175,0.56,0.2
873,147,0.43,0.39
874,99,0.21,0.23
875,132,0.76,0.28
876,187,0.46,0.29
877,119,0.33,0.19
878,23,0.28,0.28
879,24,0.74,0.28
880,59,0.6,0.35
881,69,0.45,0.25
882,129,0.42,0.14
883,90,0.22,0.12
884,195,0.41,0.26
885,91,0.54,0.36
886,187,0.59,0.27
887,179,0.71,0.39
888,42,0.78,0.32
889,155,0.5,0.3
890,53,0.41,0.16
891,133,0.25,0.14
892,186,0.4,0.35
893,24,0.68,0.27
894,142,0.57,0.28
895,121,0.59,0.1
896,163,0.3,0.31
897,51,0.37,0.35
898,148,0.49,0.1
899,58,0.4,0.14
900,76,0.7,0.37
901,146,0.35,0.37
902,70,0.79,0.16
903,106,0.51,0.24
904,31,0.79,0.14
905,38,0.66,0.21
906,38,0.52,0.17
907,147,0.35,0.22
908,124,0.38,0.32
909,52,0.55,0.34
910,178,0.72,0.28
911,63,0.38,0.29
912,28,0.29,0.14
913,158,0.74,0.29
914,136,0.7,0.22
915,28,0.28,0.3
916,160,0.57,0.17
917,52,0.39,0.28
918,75,0.29,0.11
919,79,0.43,0.37
920,60,0.22,0.11
921,128,0.21,0.2
922,173,0.43,0.34
923,189,0.21,0.19
924,92,0.32,0.32
925,128,0.31,0.38
926,62,0.77,0.2
927,148,0.21,0.11
928,68,0.78,0.15
929,129,0.26,0.13
930,130,0.26,0.32
931,143,0.27,0.28
932,195,0.63,0.2
933,199,0.31,0.34
934,102,0.54,0.2
935,71,0.66,0.27
936,195,0.76,0.33
937,52,0.39,0.14
938,41,0.73,0.4
939,158,0.2,0.24
940,148,0.53,0.29
941,110,0.78,0.3
942,104,0.44,0.35
943,75,0.56,0.12
944,185,0.29,0.13
945,140,0.79,0.25
946,35,0.5,0.37
947,89,0.69,0.24
948,45,0.55,0.12
949,133,0.49,0.21
950,90,0.41,0.33
951,61,0.53,0.16
952,148,0.62,0.39
953,179,0.58,0.26
954,197,0.78,0.13
955,182,0.26,0.13
956,112,0.3,0.4
957,134,0.52,0.16
958,24,0.53,0.25
959,172,0.73,0.17
960,73,0.67,0.21
961,134,0.49,0.2
962,153,0.43,0.25
963,20,0.42,0.34
964,195,0.24,0.13
965,133,0.58,0.18
966,192,0.41,0.16
967,80,0.23,0.31
968,72,0.25,0.21
969,134,0.26,0.27
970,190,0.59,0.15
971,83,0.46,0.38
972,169,0.78,0.27
973,173,0.32,0.11
974,190,0.37,0.19
975,61,0.3,0.37
976,103,0.76,0.36
977,98,0.23,0.39
978,141,0.3,0.15
979,147,0.43,0.27
980,199,0.68,0.16
981,174,0.78,0.18
982,153,0.62,0.21
983,136,0.44,0.13
984,49,0.4,0.14
985,67,0.25,0.12
986,78,0.28,0.29
987,83,0.65,0.35
988,65,0.54,0.32
989,118,0.38,0.39
990,114,0.47,0.18
991,101,0.71,0.12
992,118,0.73,0.36
993,130,0.61,0.37
994,41,0.73,0.39
995,73,0.52,0.32
996,154,0.5,0.15
997,200,0.23,0.22
998,74,0.4,0.14
999,117,0.61,0.36
1000,126,0.3,0.25
1001,85,0.27,0.16
1002,118,0.28,0.2
1003,110,0.6,0.1
1004,58,0.75,0.28
1005,103,0.27,0.25
1006,64,0.5,0.29
1007,128,0.73,0.3
1008,65,0.38,0.26
1009,185,0.65,0.12
1010,105,0.38,0.1
1011,145,0.2,0.35
1012,140,0.7,0.21
1013,22,0.3,0.18
1014,154,0.62,0.1
1015,104,0.55,0.33
1016,177,0.3,0.26
1017,161,0.51,0.27
1018,109,0.3,0.31
1019,36,0.68,0.19
1020,27,0.34,0.19
1021,33,0.7,0.21
1022,29,0.45,0.32
1023,129,0.72,0.21
1024,161,0.63,0.37
1025,160,0.34,0.13
1026,119,0.32,0.38
1027,20,0.23,0.19
1028,76,0.57,0.16
1029,133,0.72,0.32
1030,72,0.29,0.25
1031,27,0.72,0.36
1032,135,0.55,0.12
1033,30,0.21,0.35
1034,52,0.7,0.3
1035,118,0.53,0.16
1036,99,0.5,0.28
1037,182,0.66,0.18
1038,55,0.58,0.25
1039,191,0.45,0.26
1040,120,0.49,0.14
1041,65,0.34,0.35
1042,160,0.62,0.2
1043,198,0.3,0.23
1044,75,0.64,0.33
1045,36,0.67,0.32
1046,186,0.29,0.36
1047,68,0.61,0.13
1048,152,0.7,0.21
1049,142,0.61,0.18
1050,76,0.24,0.27
1051,87,0.69,0.25
1052,111,0.59,0.35
1053,179,0.43,0.19
1054,62,0.3,0.17
1055,66,0.4,0.25
1056,184,0.39,0.1
1057,45,0.66,0.22
1058,47,0.69,0.38
1059,77,0.48,0.35
1060,147,0.67,0.29
1061,178,0.52,0.18
1062,130,0.78,0.11
1063,65,0.55,0.2
1064,79,0.55,0.19
1065,29,0.44,0.13
1066,57,0.66,0.32
1067,64,0.7,0.13
1068,171,0.47,0.18
1069,41,0.45,0.19
1070,59,0.45,0.32
1071,63,0.34,0.18
1072,122,0.75,0.16
1073,127,0.45,0.18
1074,84,0.57,0.13
1075,144,0.46,0.37
1076,200,0.62,0.32
1077,189,0.69,0.4
1078,195,0.75,0.36
1079,165,0.34,0.15
1080,191,0.54,0.17
1081,109,0.46,0.12
1082,171,0.37,0.15
1083,164,0.42,0.28
1084,144,0.22,0.35
1085,97,0.37,0.18
1086,79,0.56,0.21
1087,150,0.62,0.31
1088,62,0.4,0.3
1089,94,0.37,0.12
1090,49,0.44,0.33
1091,99,0.43,0.14
1092,25,0.7,0.1
1093,181,0.74,0.29
1094,105,0.79,0.35
1095,112,0.69,0.32
1096,88,0.76,0.26
1097,181,0.26,0.23
1098,25,0.55,0.23
1099,70,0.39,0.18
1100,45,0.66,0.25
1101,110,0.37,0.39
1102,48,0.24,0.23
1103,47,0.67,0.34
1104,147,0.32,0.19
1105,93,0.44,0.23
1106,82,0.26,0.1
1107,149,0.77,0.22
1108,69,0.66,0.13
1109,107,0.77,0.13
1110,166,0.21,0.26
1111,26,0.5,0.2
1112,182,0.52,0.28
1113,192,0.67,0.24
1114,166,0.77,0.31
1115,109,0.32,0.19
1116,58,0.68,0.36
1117,172,0.33,0.15
1118,77,0.48,0.25
1119,191,0.23,0.22
1120,181,0.68,0.1
1121,195,0.75,0.37
1122,91,0.78,0.31
1123,54,0.2,0.19
1124,139,0.37,0.18
1125,173,0.51,0.37
1126,82,0.51,0.11
1127,55,0.62,0.18
1128,35,0.46,0.2
1129,29,0.38,0.29
1130,82,0.37,0.25
1131,131,0.38,0.22
1132,178,0.2,0.24
1133,54,0.39,0.27
1134,33,0.73,0.26
1135,41,0.38,0.35
1136,154,0.41,0.29
1137,56,0.65,0.19
1138,22,0.71,0.2
1139,66,0.54,0.3
1140,71,0.38,0.11
1141,89,0.59,0.21
1142,109,0.36,0.15
1143,45,0.32,0.29
1144,187,0.34,0.21
1145,119,0.38,0.34
1146,147,0.56,0.28
1147,75,0.42,0.17
1148,107,0.21,0.35
1149,115,0.22,0.15
1150,176,0.29,0.1
